MainMenu_DifficultySelection_1:: "请等房主选择COTF困难"
MainMenu_DifficultySelection_2:: "服务器可能没有安装《COTF》MOD，或者主机需要花费很长时间。你无法进入没有安装COTF的服务器\n你想离开吗？"
MainMenu_DifficultySelection_3:: "选择难度"
MainMenu_DifficultySelection_4:: "队友伤害启用"
MainMenu_DifficultySelection_5:: "您将能够以100%的伤害攻击队友"
MainMenu_DifficultySelection_6:: "队友伤害禁用"
MainMenu_DifficultySelection_7:: "您的近战和远程攻击不会对其他玩家造成伤害"
MainMenu_DifficultySelection_8:: "立即死亡"
MainMenu_DifficultySelection_9:: "玩家立即死亡，而不是被击倒"
MainMenu_DifficultySelection_10:: "玩家正常流血死亡"
MainMenu_DifficultySelection_11:: "玩家被击倒后慢慢流血死亡"
MainMenu_DifficultySelection_12:: "死亡后物品掉落: "
MainMenu_DifficultySelection_13:: "物品掉落数量"
MainMenu_DifficultySelection_14:: "物品掉落机率"
MainMenu_DifficultySelection_15:: "敌人赏金"
MainMenu_DifficultySelection_16:: "敌人等级增加"
MainMenu_DifficultySelection_17:: "敌人伤害"
MainMenu_DifficultySelection_18:: "敌人血量"
MainMenu_DifficultySelection_19:: "敌人护甲"
MainMenu_DifficultySelection_20:: "敌人速度"
MainMenu_DifficultySelection_21:: "允许精英敌人出现"
MainMenu_DifficultySelection_22:: "否"
MainMenu_DifficultySelection_23:: "是"
MainMenu_DifficultySelection_24:: "其他设置"
MainMenu_DifficultySelection_25:: "离开大厅"
MainMenu_DifficultySelection_26:: "战利品等级分配:"
MainMenu_DifficultySelection_27:: "在山洞里重新生成敌人"
MainMenu_DifficultySelection_28:: "随机化洞穴怪物生成"
MainMenu_DifficultySelection_29:: "额外的洞穴怪物生成"
MainMenu_DifficultySelection_30:: "洞穴重生延迟"
MainMenu_DifficultySelection_31:: "恢复默认"
MainMenu_Inventory_1:: "库存"
MainMenu_Inventory_2:: "装备"
MainMenu_Inventory_3:: "头"
MainMenu_Inventory_4:: "身体"
MainMenu_Inventory_5:: "腿"
MainMenu_Inventory_6:: "脚"
